,SiteEnergyUse(kBtu),TotalGHGEmissions,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,proportion_SteamUse(kBtu),proportion_Electricity(kBtu),proportion_NaturalGas(kBtu)
2125,1176342.25,39.05,Warehouse,47.52549,-122.33064,1979,1.0,1,27420,0,55.0,0.0,0.43162863528875206,0.5683711521880643
2129,161363.4063,1.12,K-12 School,47.60885,-122.2999,1929,1.0,2,24152,0,100.0,0.0,0.9999974820809171,0.0
2131,2053956.375,85.15,K-12 School,47.694,-122.28967,1949,1.0,2,43645,0,71.0,0.0,0.25262464496111803,0.7473756593296681
2133,1399062.75,21.46,Retail Store,47.69066,-122.29023,1952,1.0,1,26853,0,68.0,0.0,0.8186480556358177,0.18135212305523823
2141,1486681.75,26.27,Warehouse,47.57881,-122.33273,1992,1.0,1,29394,0,60.0,0.0,0.7681186642669152,0.23188150389281365
2143,438557.0,12.17,Warehouse,47.57941,-122.3336,1926,1.0,2,20400,0,69.0,0.0,0.5496890940060243,0.4503109059939757
2144,903541.875,6.3,Small- and Mid-Sized Office,47.57893,-122.33374,1926,1.0,1,20460,0,16.0,0.0,1.000000138344446,0.0
2146,1074350.375,7.49,Refrigerated Warehouse,47.58217,-122.33263,1955,1.0,2,21870,0,45.0,0.0,0.99999965095186,0.0
2148,3133849.5,106.35,Medical Office,47.53419,-122.36624,1970,1.0,1,43615,0,89.0,0.0,0.41560834366806704,0.584391815880118
2149,1144267.5,7.98,Small- and Mid-Sized Office,47.53419,-122.36624,1970,1.0,3,36879,0,26.0,0.0,0.9999995630392369,0.0
2151,308400.4063,2.15,Warehouse,47.53846,-122.36175,1982,1.0,2,36600,0,80.0,0.0,0.999998682556859,0.0
2159,2100216.5,61.6,Warehouse,47.55718,-122.33288,1941,1.0,1,48890,0,49.0,0.0,0.5153611544333644,0.4846386074959415
2160,4416909.5,30.79,Small- and Mid-Sized Office,47.55658,-122.33322,2000,1.0,3,43473,0,3.0,0.0,0.9999998867986768,0.0
2162,3740373.75,35.48,Retail Store,47.52254,-122.36627,1990,1.0,1,40265,0,19.0,0.0,0.9455271682408743,0.054472631244404386
2163,1608884.25,37.61,Retail Store,47.52254,-122.36627,2005,1.0,1,26208,0,79.0,0.0,0.6444012364469351,0.35559860816587646
2168,796042.375,11.44,Small- and Mid-Sized Office,47.59657,-122.33394,1910,1.0,5,32250,0,92.0,0.0,0.8397530345039735,0.1602464944155768
2170,1298039.875,14.17,Retail Store,47.69061,-122.35731,1953,1.0,1,51000,0,95.0,0.0,0.9144719071130231,0.08552818918602173
2185,576174.125,4.02,Small- and Mid-Sized Office,47.59508,-122.33378,1920,1.0,2,20150,0,80.0,0.0,0.9999997830516947,0.0
2186,1682454.875,11.73,Small- and Mid-Sized Office,47.59639,-122.33368,1909,1.0,7,36000,0,40.0,0.0,1.0000000742961976,0.0
2190,928584.875,9.65,Small- and Mid-Sized Office,47.58686,-122.33469,1927,1.0,1,22580,0,90.0,0.0,0.925916438171578,0.07408369644185729
2192,743528.125,33.52,Warehouse,47.60192,-122.31641,1926,1.0,1,20000,0,18.0,0.0,0.17385219960576476,0.8261476322768557
2202,11019641.0,292.8,Senior Care Community,47.70178,-122.32352,2009,1.0,6,244500,0,100.0,0.0,0.5752105717418562,0.4247893375110859
2207,1748644.5,58.36,Retail Store,47.55772,-122.33017,1964,1.0,1,37247,0,69.0,0.0,0.42775875828391646,0.5722409557803201
2212,3027867.5,77.23,Retail Store,47.69274,-122.37602,1993,1.0,1,25384,0,11.0,0.0,0.5982784913804848,0.40172134348679395
2215,586589.1875,25.15,Warehouse,47.58318,-122.3347,1900,1.0,2,52110,0,34.0,0.0,0.22183156930419895,0.7781681110513139
2216,204499.0938,5.43,Small- and Mid-Sized Office,47.58292,-122.33468,1910,1.0,2,20970,0,100.0,0.0,0.5754548727491721,0.4245446685690888
2218,771512.6875,14.99,Small- and Mid-Sized Office,47.57529,-122.33475,1923,1.0,1,26310,0,96.0,0.0,0.7298596758332636,0.2701407292151628
2222,12434593.0,413.1,Retail Store,47.54723,-122.28455,1966,1.0,1,37883,0,88.0,0.0,0.43105351337192943,0.5689464062072639
2225,1274049.75,54.27,K-12 School,47.53887,-122.37564,1962,1.0,3,29874,0,95.0,0.0,0.2278082154955095,0.772191980729167
2227,992794.6875,47.08,Worship Facility,47.64,-122.39743,1965,1.0,1,20140,0,35.0,0.0,0.12327825837605522,0.8767220563919466
2231,1508561.875,28.05,Small- and Mid-Sized Office,47.60104,-122.30155,1971,1.0,2,39953,0,93.0,0.0,0.748095930768501,0.2519041520918723
2234,1676426.5,11.69,Retail Store,47.60009,-122.3017,1998,1.0,2,21200,0,15.0,0.0,0.9999997017465424,0.0
2235,6058494.0,42.24,Supermarket / Grocery Store,47.59881,-122.30189,1980,1.0,1,30630,0,27.0,0.0,0.9999998349424791,0.0
2236,1896626.375,13.22,Retail Store,47.59881,-122.30189,1980,1.0,2,23421,0,25.0,0.0,0.9999998022805098,0.0
2240,893053.1875,31.54,Worship Facility,47.67628,-122.38238,1928,1.0,2,24120,0,66.0,0.0,0.3855335883899972,0.6144662016561023
2241,1148202.25,51.15,Worship Facility,47.6764,-122.38502,1929,1.0,3,35736,0,88.0,0.0,0.1855909967081148,0.8144087855602095
2244,1206165.75,27.75,Warehouse,47.57298,-122.33644,1941,1.0,1,51050,0,10.0,0.0,0.6525255753614294,0.3474746319069332
2245,1302192.875,42.66,Retail Store,47.57044,-122.33475,1954,1.0,2,21900,0,40.0,0.0,0.44097691749388507,0.5590231784980393
2246,150167.7969,1.6,Distribution Center,47.57227,-122.33843,1952,1.0,1,16300,0,100.0,0.0,0.9201639955603558,0.07983735692669006
2247,1386445.375,9.67,Warehouse,47.57339,-122.33735,1964,1.0,1,33462,0,1.0,0.0,0.9999997295241437,0.0
2254,415364.5938,14.37,Warehouse,47.59774,-122.31936,1930,1.0,1,23903,0,65.0,0.0,0.40145212781494427,0.5985488501210813
2278,608755.375,28.78,Worship Facility,47.70901,-122.35498,1951,1.0,2,21936,0,96.0,0.0,0.1265040164943102,0.8734970101906697
2289,904236.0,6.3,Small- and Mid-Sized Office,47.56029,-122.2858,1967,1.0,2,23250,0,55.0,0.0,1.0,0.0
2292,2794837.0,120.72,Warehouse,47.55966,-122.33146,1960,1.0,1,30000,0,32.0,0.0,0.2149513549448501,0.7850486450551499
2314,26416770.0,449.59,Mixed Use Property,47.61376,-122.33445,2009,1.0,39,962428,112124,65.0,0.0,0.7822295458528806,0.21777034058289488
2328,1027230.875,14.64,Small- and Mid-Sized Office,47.70868,-122.30089,1980,1.0,4,23022,0,78.0,0.0,0.8423072369198404,0.15769288476653312
2331,3064039.5,125.59,Warehouse,47.56318,-122.32889,1962,1.0,1,31569,0,12.0,0.0,0.2627224616392837,0.7372773751774414
2332,177812.7969,1.24,Warehouse,47.56362,-122.32876,1956,1.0,1,22509,0,57.0,0.0,1.0000011422125041,0.0
2333,1073156.375,36.82,Warehouse,47.56424,-122.32902,1956,1.0,1,39984,0,75.0,0.0,0.4074914059006545,0.5925082446628526
2342,719905.1875,27.93,Worship Facility,47.62322037,-122.320017,1906,1.0,1,26440,0,91.0,0.0,0.31028391499123625,0.6897158245577999
2359,1162561.125,28.64,K-12 School,47.61791,-122.28594,2009,4.0,2,28500,0,92.0,0.0,0.6171778709700103,0.38282202150876155
2383,840549.375,5.86,Small- and Mid-Sized Office,47.63614,-122.33982,1949,1.0,3,23355,0,77.0,0.0,0.99999955386321,0.0
2384,3542708.5,101.21,Small- and Mid-Sized Office,47.63575,-122.33895,1965,1.0,4,30840,0,30.0,0.0,0.5318794927666219,0.4681203660984244
2392,317794.4063,13.09,Worship Facility,47.61118,-122.288,1900,1.0,1,21850,0,100.0,0.0,0.2582046706087665,0.7417940508917007
2403,2799595.0,122.0,Hotel,47.60154,-122.3352,1914,1.0,4,45500,0,77.0,0.33616994154511637,0.38203847342204855,0.28179147340954674
2410,503744.6875,3.51,Hotel,47.60035,-122.33379,1900,1.0,3,25450,0,99.0,0.0,1.0000006203539367,0.0
2413,466672.6875,3.25,Warehouse,47.64793,-122.34358,1938,1.0,1,23050,0,27.0,0.0,1.0000006696342176,0.0
2414,3168131.0,22.09,Small- and Mid-Sized Office,47.64747,-122.34086,2008,1.0,4,48350,0,45.0,0.0,1.0,0.0
2415,1582655.875,20.66,Retail Store,47.66097,-122.3192,1930,1.0,1,46059,0,82.0,0.0,0.8682076891794307,0.13179238980173122
2432,817409.625,6.53,Medical Office,47.67437,-122.3181,1970,1.0,2,23595,0,72.0,0.0,0.9779686653432788,0.022031793423034383
2438,847097.8125,34.08,Small- and Mid-Sized Office,47.59938,-122.33328,1900,1.0,3,28142,0,96.0,0.40209712358335237,0.48884673515787175,0.1090558830831593
2440,713326.875,13.69,Small- and Mid-Sized Office,47.59979,-122.33318,1902,1.0,4,39030,0,99.0,0.0,0.7350655335956605,0.2649346416395709
2447,336745.4063,2.35,Retail Store,47.61478,-122.31847,1916,1.0,2,36940,0,100.0,0.0,0.9999987934505048,0.0
2449,1264626.875,18.19,Retail Store,47.61466,-122.31984,1920,1.0,1,30240,0,78.0,0.0,0.8392688950248666,0.1607312038185176
2460,3605755.5,25.14,Small- and Mid-Sized Office,47.59644,-122.32415,1979,1.0,3,35202,0,2.0,0.0,0.9999998613328053,0.0
2467,7202141.5,183.79,Senior Care Community,47.61318,-122.32747,1969,1.0,6,69035,26082,1.0,0.0,0.5980169925847749,0.40198293799142937
2469,331059.5,5.66,Worship Facility,47.61426,-122.32661,1910,1.0,2,24600,0,69.0,0.0,0.7802585335868628,0.21974297671566592
2492,1031667.5,17.41,Small- and Mid-Sized Office,47.61543,-122.32657,1917,1.0,3,27544,0,94.0,0.0,0.785248154080651,0.21475233057162313
2514,14585813.0,393.07,Supermarket / Grocery Store,47.62048,-122.31386,1998,1.0,1,44739,0,17.0,0.0,0.5670106973125186,0.4329892341277103
2519,866806.0,37.28,Worship Facility,47.68517,-122.38733,1956,1.0,2,21562,0,20.0,0.0,0.2189532605911819,0.7810467394088181
2524,20628680.0,792.6,Senior Care Community,47.63429,-122.27652,1963,1.0,16,153312,0,51.0,0.0,0.3183355890924674,0.6816644593837318
2530,27684480.0,393.29,Mixed Use Property,47.61811,-122.33908,2009,1.0,19,1004813,201857,87.0,0.0,0.843195357109832,0.15680457064752526
2535,826488.6875,22.38,Worship Facility,47.53857,-122.28026,1968,1.0,1,24200,0,73.0,0.0,0.5642363979724768,0.4357639801331219
2559,1219863.125,55.06,K-12 School,47.71387,-122.3535,1938,1.0,2,23222,0,62.0,0.0,0.17277594156311593,0.8272239559663712
2567,3625407.5,121.63,K-12 School,47.61339,-122.32594,1904,1.0,3,60000,0,52.0,0.0,0.4239556518818919,0.5760442102025772
2575,1440554.25,10.04,Other,47.63303,-122.34268,1980,1.0,3,30408,0,61.0,0.0,0.9999998264556854,0.0
2579,1465795.75,34.03,Small- and Mid-Sized Office,47.63439,-122.34078,1920,1.0,3,30109,0,89.0,0.0,0.6478631146256223,0.3521370559302004
2583,917100.3125,38.59,Small- and Mid-Sized Office,47.63985,-122.36712,1960,1.0,2,25481,0,92.0,0.0,0.2391134284996768,0.7608862307524292
2584,19423344.0,717.93,Senior Care Community,47.53515,-122.26556,1967,1.0,1,141297,0,76.0,0.0,0.3499851518873372,0.6500147451437817
2593,2119806.25,35.99,Small- and Mid-Sized Office,47.62298,-122.33082,1912,1.0,2,27788,0,73.0,0.0,0.7830734530573255,0.216926429007368
2603,1943899.25,58.52,Hotel,47.729,-122.34473,1990,1.0,4,33120,8584,73.0,0.0,0.49858139510059485,0.5014184762919168
2606,588856.125,22.33,Warehouse,47.56683,-122.33358,1941,1.0,2,22324,0,53.0,0.0,0.32927907474852197,0.6707207129755167
2614,1072151.375,12.57,Small- and Mid-Sized Office,47.61545,-122.3238,1922,1.0,3,27600,0,84.0,0.0,0.8970179234252252,0.10298172681073137
2623,6135173.0,203.21,Senior Care Community,47.66312,-122.35311,1961,1.0,2,55974,0,98.0,0.0,0.43320750694397697,0.5667924930560231
2628,1981360.0,70.92,Senior Care Community,47.70883,-122.28887,1954,1.0,1,22583,0,95.0,0.0,0.3753512738724916,0.6246487261275083
2632,720170.6875,5.02,Small- and Mid-Sized Office,47.6483,-122.33438,1981,1.0,3,20660,6034,92.0,0.0,1.000000433924909,0.0
2636,227509.5,1.59,Warehouse,47.70833,-122.34429,1972,1.0,1,29400,0,69.0,0.0,0.9999978022895747,0.0
2637,1244150.0,41.88,Hotel,47.54774,-122.32091,1992,1.0,3,22452,0,85.0,0.0,0.42148052887513565,0.5785194711248643
2642,1581352.75,11.02,Other,47.66148,-122.31279,1912,1.0,2,25767,0,22.0,0.0,0.9999995257225183,0.0
2643,1822834.25,38.21,Retail Store,47.66188,-122.31279,1953,1.0,4,33910,0,75.0,0.0,0.6967852397989559,0.3032146230519862
2654,4103800.75,48.13,Warehouse,47.64748,-122.33435,1979,1.0,2,78716,0,38.0,0.0,0.89692609954321,0.10307371769937905
2655,1594733.625,69.2,K-12 School,47.66389,-122.33692,1910,1.0,2,33300,0,92.0,0.0,0.21063517739522172,0.7893650577537675
2656,9232576.0,226.73,Supermarket / Grocery Store,47.66185,-122.33594,1957,1.0,1,28808,0,29.0,0.0,0.6188446214794224,0.38115527020844453
2667,1100499.75,7.67,Small- and Mid-Sized Office,47.66345,-122.3134,1957,1.0,1,20962,7004,58.0,0.0,1.00000022716952,0.0
2668,7588060.5,156.18,Supermarket / Grocery Store,47.66429,-122.31389,1950,1.0,1,26226,0,37.0,0.0,0.704985153979729,0.2950147801272802
2671,1159807.125,8.09,Mixed Use Property,47.6616,-122.31393,1976,1.0,2,19193,15755,17.0,0.0,0.9999998922234591,0.0
2682,881386.1875,6.14,Small- and Mid-Sized Office,47.60102,-122.33378,1900,1.0,4,22840,0,64.0,0.0,0.9999997872669181,0.0
2684,683274.0,4.76,Small- and Mid-Sized Office,47.6011,-122.33197,1900,1.0,1,20880,0,94.0,0.0,1.0,0.0
2691,1941728.75,19.81,Medical Office,47.5195,-122.26935,2010,1.0,2,25880,0,8.0,0.0,0.9300063152487185,0.06999329849753731
2699,1544995.75,47.03,Worship Facility,47.67842,-122.31949,1950,1.0,3,46485,0,83.0,0.0,0.49138775948089175,0.5086117550808796
2704,1402048.5,28.46,Small- and Mid-Sized Office,47.67819,-122.3231,1965,1.0,4,56896,0,96.0,0.0,0.7111900907850192,0.28880955259393665
2706,577123.125,14.79,Worship Facility,47.67783,-122.32577,1978,1.0,2,27500,0,60.0,0.0,0.5954864484073481,0.4045133350010884
2707,541943.3125,3.78,Small- and Mid-Sized Office,47.59856,-122.33248,1930,1.0,2,36630,0,90.0,0.0,0.999999423371425,0.0
2709,1103594.75,7.69,Small- and Mid-Sized Office,47.59971,-122.33065,1906,1.0,5,41920,0,95.0,0.0,1.0000002265324295,0.0
2710,1537570.25,26.94,Small- and Mid-Sized Office,47.60048,-122.33157,1905,1.0,5,36879,0,92.0,0.0,0.7713579265727859,0.22864191083301721
2716,1567040.75,10.92,Warehouse,47.59986,-122.32987,1906,1.0,4,43484,0,18.0,0.0,1.0000001595363746,0.0
2721,4857581.5,173.67,Hotel,47.5985,-122.32677,1925,1.0,4,33018,0,49.0,0.0,0.3762256999702424,0.6237741970978768
2723,987063.6875,11.18,Small- and Mid-Sized Office,47.5962,-122.32548,1970,1.0,2,26510,0,91.0,0.0,0.9055129991295521,0.09448731746602723
2737,942415.1875,6.76,Warehouse,47.65429,-122.32618,1938,1.0,1,40028,0,80.0,0.0,0.9955261889282743,0.004473612114830227
2738,2188051.25,15.25,Small- and Mid-Sized Office,47.65373,-122.32721,2007,1.0,3,26282,18228,23.0,0.0,0.9999998857430784,0.0
2739,666687.5,20.96,Worship Facility,47.71705,-122.28577,1954,1.0,1,21624,0,90.0,0.0,0.46966082309927815,0.530339926877285
2751,1200180.875,53.25,Hotel,47.59983,-122.32598,1910,1.0,5,40552,0,99.0,0.0,0.18950060339863356,0.8104995007523346
2775,637685.0,4.45,Residence Hall,47.6617,-122.31007,1929,1.0,3,22124,0,82.0,0.0,1.0,0.0
2778,1594504.875,65.95,Residence Hall,47.66289,-122.30863,1926,1.0,3,27487,0,82.0,0.0,0.25465334497644604,0.7453467334177953
2779,1656420.25,53.65,Residence Hall,47.66164,-122.30874,1926,1.0,4,23616,0,55.0,0.0,0.44911730582863857,0.5508825432434794
2781,998633.5,6.96,Residence Hall,47.66238,-122.30801,1976,1.0,3,33448,0,78.0,0.0,0.9999994993158151,0.0
2783,8268496.5,249.46,Senior Care Community,47.60133,-122.31088,1987,1.0,2,74840,0,48.0,0.0,0.49719341357887736,0.5028065259506369
2785,1522596.75,55.23,K-12 School,47.6032,-122.30596,1925,1.0,2,22344,0,40.0,0.0,0.3648937251442314,0.6351064390489471
2800,5652231.0,39.4,Mixed Use Property,47.66272,-122.31798,1999,1.0,2,32928,0,9.0,0.0,0.9999998230787099,0.0
2801,104722.2969,0.73,Worship Facility,47.66146,-122.2788,1954,1.0,2,20039,0,100.0,0.0,0.9999971648826583,0.0
2803,1368120.5,29.7,Warehouse,47.54761,-122.32759,1960,1.0,1,44476,0,33.0,0.0,0.6805716309345559,0.31942800360056006
2804,1295485.25,27.06,Small- and Mid-Sized Office,47.54494,-122.32543,1969,1.0,1,35017,0,66.0,0.0,0.6982950983038981,0.3017047087182197
2805,1632498.625,60.83,Residence Hall,47.66281,-122.30819,1950,1.0,3,29084,0,66.0,0.0,0.34343979922188295,0.6565604304873457
2815,470666.6875,19.28,Worship Facility,47.58671,-122.30201,1963,1.0,2,22952,0,98.0,0.0,0.263196872202688,0.7368037917491239
2829,592088.125,19.14,Warehouse,47.54443,-122.32688,1976,1.0,1,21040,0,43.0,0.0,0.4506339322377053,0.5493658566450729
2830,1321065.0,46.61,Warehouse,47.54491,-122.32758,1951,1.0,2,28032,0,52.0,0.0,0.3864578957129286,0.6135421042870715
2831,550324.1875,20.46,Distribution Center,47.54333,-122.32792,1974,1.0,1,25620,0,82.0,0.0,0.34515837085572404,0.6548412884360094
2832,1632472.0,11.38,Warehouse,47.59775,-122.32219,1992,1.0,3,33238,0,14.0,0.0,1.0,0.0
2833,1181428.75,38.36,K-12 School,47.60745,-122.32542,1912,1.0,4,27800,0,8.0,0.0,0.4473058574205173,0.5526943541876732
2835,13270687.0,92.52,Large Office,47.60331,-122.33389,2000,1.0,6,706176,0,82.0,0.0,0.9999998492919018,0.0
2839,8687690.0,206.33,Supermarket / Grocery Store,47.54427,-122.38609,1998,1.0,1,33706,0,22.0,0.0,0.6363597227801636,0.3636402772198363
2896,13906080.0,364.27,Supermarket / Grocery Store,47.68217,-122.31675,1997,1.0,1,38000,38585,18.0,0.0,0.5833439761600682,0.416655880017949
2897,964236.0,38.18,Worship Facility,47.66295,-122.31494,1938,1.0,3,26373,0,75.0,0.0,0.2929552516188983,0.7070447483811018
2917,965425.1875,29.39,Warehouse,47.53326,-122.32579,1953,1.0,1,42420,0,34.0,0.0,0.49130684194004415,0.5086929638450105
2927,1063269.125,17.65,Warehouse,47.56501,-122.3248,1974,1.0,1,35046,0,100.0,0.0,0.7912991924786681,0.2087006899593741
2929,405062.0,2.82,Warehouse,47.56448,-122.32484,1974,1.0,1,43380,0,89.0,0.0,1.0,0.0
2930,2720238.25,77.84,Small- and Mid-Sized Office,47.65576,-122.34208,1995,1.0,3,20410,0,8.0,0.0,0.5308946743911126,0.4691052337051727
2938,624125.625,4.35,Small- and Mid-Sized Office,47.70349,-122.33424,1983,1.0,3,18396,6300,87.0,0.0,0.9999989985990401,0.0
2945,689803.0,21.87,Worship Facility,47.71479,-122.32824,2002,1.0,1,24955,0,47.0,0.0,0.46390926104989394,0.5360907389501061
2982,1573155.0,62.94,K-12 School,47.71923,-122.32171,1988,1.0,2,32961,0,86.0,0.0,0.28392561444994296,0.7160743855500571
2996,11521140.0,338.58,Supermarket / Grocery Store,47.70941,-122.31707,1996,1.0,1,44755,0,56.0,0.0,0.5141513773810578,0.48584853582197596
2999,2701872.0,128.07,Small- and Mid-Sized Office,47.61393,-122.31589,1920,1.0,3,23422,0,65.0,0.0,0.12372606844439707,0.876273931555603
3003,3392129.0,83.65,Mixed Use Property,47.61554,-122.31098,1998,1.0,5,38409,14625,93.0,0.0,0.6166112786394621,0.38338872136053787
3009,79711.79688,0.87,Warehouse,47.61481,-122.31536,1920,1.0,2,23040,0,99.0,0.0,0.9138546971869492,0.08614785099296836
3012,595936.5,4.15,Warehouse,47.61469,-122.31596,1958,1.0,2,61880,0,66.0,0.0,1.0000008390155664,0.0
3014,1027394.313,7.31,Small- and Mid-Sized Office,47.61556,-122.32048,1925,1.0,2,27938,0,97.0,0.0,0.9969414732393989,0.0030582221063939256
3024,3724098.25,39.31,Retail Store,47.59951,-122.32033,2000,1.0,3,54969,0,67.0,0.0,0.9222914567304985,0.07770847613915664
3028,2076289.625,54.02,Small- and Mid-Sized Office,47.61546,-122.31195,1958,1.0,3,25834,0,73.0,0.0,0.5872268422089717,0.4127728567732934
3032,3481727.5,150.23,Worship Facility,47.63193,-122.32126,1929,1.0,1,37700,0,38.0,0.0,0.21593504948333836,0.784065094123535
3041,1021754.688,7.12,Mixed Use Property,47.61608,-122.30967,2004,1.0,6,97229,0,100.0,0.0,0.9999993266485507,0.0
3045,954352.6875,24.97,Small- and Mid-Sized Office,47.69898,-122.34162,1982,1.0,3,25111,0,77.0,0.0,0.5839340186276785,0.4160663088194007
3057,1641667.0,68.39,Worship Facility,47.64725,-122.39977,1953,1.0,2,31805,0,10.0,0.0,0.24814959428434633,0.7518504057156536
3058,1267348.5,43.97,K-12 School,47.64725,-122.39977,1953,1.0,1,20811,0,95.0,0.0,0.39909780143346524,0.6009025930910085
3065,4236396.5,67.96,Distribution Center,47.5616,-122.32603,1971,1.0,1,28320,0,1.0,0.0,0.8034243253670897,0.1965755566080748
3072,861643.6875,22.18,Worship Facility,47.67816,-122.28998,1955,1.0,1,29079,0,78.0,0.0,0.593189513733889,0.40681084894502867
3073,726917.5,5.07,Small- and Mid-Sized Office,47.63441,-122.28061,1982,1.0,3,19232,9616,82.0,0.0,0.9999993121640351,0.0
3076,1835804.0,38.71,Small- and Mid-Sized Office,47.65564,-122.36191,1988,1.0,2,20535,0,7.0,0.0,0.6941154938108861,0.3058845061891139
3079,485971.0,3.39,Warehouse,47.54769,-122.3251,1965,1.0,1,30800,0,65.0,0.0,1.0,0.0
3088,924192.6875,7.8,Warehouse,47.59416,-122.3267,1922,1.0,1,37400,0,73.0,0.0,0.9681314428275002,0.031868895305450035
3094,15026352.0,106.86,Large Office,47.59666,-122.32768,2000,1.0,11,268130,0,88.0,0.0,0.9969673943482756,0.0030324725522202596
3095,3782378.25,26.37,Small- and Mid-Sized Office,47.59706,-122.32813,2000,1.0,11,68452,0,79.0,0.0,0.9999999339040192,0.0
3096,14709151.0,102.54,Large Office,47.59634,-122.32807,2000,1.0,11,273185,0,88.0,0.0,0.9999998640302218,0.0
3097,3736960.0,156.45,K-12 School,47.66368,-122.27324,1924,1.0,3,97500,0,97.0,0.0,0.24370022692241822,0.7562997730775818
3098,3020001.5,21.05,Small- and Mid-Sized Office,47.62495,-122.36036,1982,1.0,5,54015,0,75.0,0.0,0.9999998344371683,0.0
3114,5214621.5,81.18,Retail Store,47.6087,-122.33884,1991,1.0,3,103000,0,89.0,0.0,0.8137012437048403,0.1862986604109234
3115,8025696.0,176.75,Supermarket / Grocery Store,47.56137,-122.38524,2008,1.0,1,37864,0,61.0,0.0,0.6737860492099377,0.32621382619027683
3116,9290214.0,72.02,Supermarket / Grocery Store,47.62256,-122.32092,1950,1.0,2,66497,0,84.0,0.0,0.983078430701381,0.016921354018325088
3118,8305255.0,193.36,Supermarket / Grocery Store,47.62473,-122.34727,2006,1.0,4,45980,0,79.0,0.0,0.6464864715171298,0.3535135284828702
3125,1498457.875,12.43,Warehouse,47.55066,-122.31787,1904,1.0,4,72859,0,55.0,0.0,0.9713219332241823,0.028678150194912887
3130,15206762.0,391.7,Warehouse,47.68454,-122.26235,1940,1.0,0,384772,0,69.0,0.0,0.5928199573321394,0.40717991114742247
3131,2193115.0,32.72,Medical Office,47.6824,-122.26223,1960,1.0,0,30287,0,32.0,0.0,0.8277746493001963,0.17222535069980371
3132,3947209.25,145.11,Small- and Mid-Sized Office,47.68254,-122.26299,1960,1.0,0,21931,0,32.0,0.0,0.35432400752506343,0.6456761824825983
3133,4307238.5,30.03,Small- and Mid-Sized Office,47.60148,-122.33379,1985,1.0,6,73102,0,84.0,0.0,0.9999998839163422,0.0
3141,11702959.0,303.69,Supermarket / Grocery Store,47.71864,-122.312,2011,1.0,1,51400,0,74.0,0.0,0.5886688998910447,0.41133101466048033
3144,1634669.375,11.4,Small- and Mid-Sized Office,47.64779,-122.33352,1993,1.0,1,26263,0,64.0,0.0,0.9999997705958124,0.0
3160,8926736.0,94.63,Supermarket / Grocery Store,47.6239,-122.35756,2003,1.0,4,33997,0,23.0,0.0,0.9213473995422291,0.07865248843474255
3162,17463744.0,163.19,Large Office,47.62037,-122.33627,2012,1.0,11,526423,0,97.0,0.0,0.9485614310425072,0.05143845443451301
3163,1357119.875,9.46,Mixed Use Property,47.60121,-122.33518,1902,1.0,6,74211,0,97.0,0.0,1.0000000921068228,0.0
3165,1544193.75,15.5,Warehouse,47.51098,-122.27817,1988,1.0,2,45700,0,99.0,0.0,0.9335577222741641,0.0664424396226186
3173,11624548.0,92.07,Large Office,47.58995,-122.33472,2012,1.0,6,157345,0,63.0,0.0,0.9794426415547512,0.020557272420398627
3175,6275367.5,175.46,Residence Hall,47.65642,-122.31475,2012,1.0,5,136758,0,90.0,0.0,0.5450868016893035,0.45491327798730513
3176,8767617.0,191.97,Residence Hall,47.65599,-122.31385,2012,1.0,7,192259,0,72.0,0.0,0.6765497397981687,0.3234502602018314
3187,57764408.0,1789.69,Hospital,47.66201,-122.28386,2013,1.0,8,330000,0,58.0,0.0,0.47958737844244853,0.520412586934155
3192,3886545.0,144.41,Retail Store,47.62503,-122.35642,1918,1.0,3,43832,0,67.0,0.0,0.3457502743439224,0.6542497256560775
3198,14697487.0,352.77,Supermarket / Grocery Store,47.57984,-122.38577,2011,1.0,1,67263,0,78.0,0.0,0.6308866951200569,0.36911316880225853
3199,13458948.0,147.84,Large Office,47.61156,-122.34401,1988,1.0,13,204760,149326,88.0,0.0,0.9130205421701607,0.08697938352982715
3201,1933811.625,57.59,Worship Facility,47.6709,-122.27054,2008,1.0,2,70292,0,37.0,0.0,0.5055978500491225,0.4944018267549715
3203,41680640.0,290.57,Other,47.61449,-122.33956,1975,1.0,7,55559,35120,100.0,0.0,0.9999998560482757,0.0
3214,2912264.0,51.59,K-12 School,47.61386,-122.32647,2014,1.0,2,35780,0,22.0,0.0,0.7671742671680865,0.2328257328319136
3216,1363191.625,9.5,Large Office,47.63449,-122.37661,2013,1.0,3,76844,28217,100.0,0.0,1.0000002750897181,0.0
3218,2502131.0,20.1,Small- and Mid-Sized Office,47.59666,-122.31253,2013,1.0,3,47673,14989,67.0,0.0,0.9770067994041879,0.02299320059581213
3221,3497215.5,24.38,Hotel,47.66629,-122.3826,2013,1.0,4,39433,22948,62.0,0.0,0.9999998570291135,0.0
3228,7531325.0,184.81,Senior Care Community,47.61885,-122.30341,2013,1.0,6,79805,0,25.0,0.0,0.6192351279489333,0.380764739272306
3230,1662054.125,22.76,K-12 School,47.73143,-122.32784,2014,1.0,2,48925,0,82.0,0.0,0.8329349683482781,0.14855533059129467
3264,163945984.0,6330.91,Hospital,47.60986,-122.32774,1920,1.0,8,374466,0,74.0,0.4506696059111762,0.5493303025952743,0.0
