,SiteEnergyUse(kBtu),TotalGHGEmissions,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,proportion_SteamUse(kBtu),proportion_Electricity(kBtu),proportion_NaturalGas(kBtu)
863,2545405.0,28.41,Retail Store,47.66246,-122.29898,1956,1.0,1,23409,0,67.0,0.0,0.9091543388969535,0.09084566110304647
867,1587454.75,46.57,Hotel,47.66355,-122.30123,1961,2.0,2,24100,0,91.0,0.0,0.5152820891430133,0.48471806834179054
873,1857154.75,74.92,Other,47.61362,-122.33959,1927,1.0,4,32356,0,81.0,0.4752596343950336,0.5247403319513357,0.0
874,3993913.25,126.3,Hotel,47.61798,-122.33974,1960,1.0,7,48220,12960,24.0,0.0,0.4656758631399918,0.5343240742647578
875,3460275.5,99.15,Small- and Mid-Sized Office,47.61524,-122.33519,1978,1.0,5,32256,11250,51.0,0.0,0.5300439228032565,0.4699559326995784
882,496477.3125,18.66,Worship Facility,47.67572,-122.3285,1910,1.0,2,23931,0,88.0,0.0,0.3365209160489081,0.6634784545164891
883,845961.375,32.64,Worship Facility,47.67491,-122.33316,1948,1.0,2,21393,0,57.0,0.0,0.3148595288998862,0.6851400278174639
887,1132489.625,33.23,Mixed Use Property,47.57256,-122.29265,1990,1.0,2,47560,0,80.0,0.0,0.5150563741367609,0.48494395699210047
888,1076733.25,34.98,Senior Care Community,47.60897,-122.32507,2006,1.0,6,62334,0,100.0,0.0,0.4468776273046272,0.5531221405115891
895,1261536.75,38.87,K-12 School,47.61718,-122.33654,1957,1.0,2,21600,0,72.0,0.0,0.48331846059974076,0.5166817375712598
896,931148.625,6.49,K-12 School,47.61687,-122.33533,1995,1.0,3,22860,0,43.0,0.0,0.9999993287859926,0.0
900,888031.875,32.22,Worship Facility,47.66516,-122.2738,1972,1.0,1,26366,0,88.0,0.0,0.364628803442444,0.6353713373182691
